Nombre;Reproducciones;Tiempo
Lunatic Ray;1;242.86
I'm Not Crying!;2;205.78
The Demon's Face;1;41.71
BATTLE-1 (VERGIL) from Devil May Cry 3 SE;3;336.41
radiotire;2;533.22
Behind The Mask;1;302.76
Unbearable Pressure (Rush Percussion Ver.);2;186.84
Birth of a Wish;1;278.67
Special Music Outro (Dante);1;13.93
7 days reminiscence;2;9.96
Wake your fury and wait in hell (Vergil Mission Start);3;159.00
Linkin Park - Ashes (Concept);1;7.56
(I Like) The Way You Love Me;5;309.78
100% Expendable;3;475.03
Closing (2021 Remaster);2;13.04
3 Goddamn Hags;2;13.68
El Baile del Sapito;10;498.46
The Grid;7;413.65
Drive On Coins;2;310.82
Widespread Illness;1;42.38
Devil May Cry HR /HM Ver. (Devil May Cry 5 SE Edit);1;5.42
Unbearable Pressure;3;489.82
Derezzed (Extended);2;322.30
Perfect Timing;3;129.03
Legacy (Piano Improvisation Ver.);1;88.74
Arrival;3;361.47
Reading My Eyes (2021 Remaster);1;179.27
In The Image Of;2;29.23
Drain You (2020 Fan Remaster);4;526.53
Piece of Cake;1;107.99
Special Music Outro (V);1;3.08
Devil Shocker;1;38.93
Breaking News;3;568.99
Holiday;1;178.89
Critical Moment;2;65.31
Recognizer;2;315.44
Enjoy the Taste of Despair! (V Mission Start);1;114.67
E3 2018 Announcement Trailer;1;154.59
Reflections;2;322.60
Faded Tone ”A”;1;95.40
Demon's Throne;4;344.75
Dark Colossus - Kaiju;1;364.46
Interview;1;102.99
The Show Must Go On;3;821.07
The World is Screaming Ver.2;1;175.36
Now I’m Here (live at the Hammersmith Odeon);3;797.97
End of the Unknown;1;269.11
Special Music Outro (Nero);1;11.74
Ugh, Come On… (Nero Mission Start);1;6.51
Father and Son;2;110.64
Horizons in May;2;52.82
Disgust;1;12.27
Linkin Park - Unreleased Beat 6;2;82.14
Sunday;1;7.19
(I Can't Make It) Another Day (Feat. Lenny Kravitz);1;235.28
Wretched Weaponry: Quiet;2;38.43
Armory;3;368.94
David Guetta - Memories (Featuring Kid Cudiclean Version);2;10.74
Under the Atmosphere;1;46.12
Doing All Right (…revisited);7;415.55
Keep Yourself Alive (live at The Rainbow);5;635.73
Crazy Little Thing Called Love;3;331.82
Another Day in Paradise (2016 Remaster);1;6.06
Liar Landscape;1;3.35
Soul Song Original (2020 Fan Remaster);2;208.21
Voice Of No Return - Normal;1;4.47
Bury the Light (Game Edit);1;380.64
Divinity Statue;2;77.26
More Fear;1;4.88
Unavoidable Despair;2;21.44
This, I Like (Devil May Cry Office);1;5.35
Dead Tired;2;230.84
Breaking the Icy Ground;2;41.46
Song of the Ancients - Atonement;1;233.23
Love of My Life (live at Rock in Rio festival);1;10.16
Heading for C@tastrophe;1;7.11
Reckoning;1;6.02
Fall;2;88.78
Killer Queen;3;429.28
Outlands, Part II;1;14.71
End of Line (Extended);3;697.67
El Mono De Alambre;1;79.20
Silent Siren;1;101.31
Forest Kingdom;1;350.59
It Becomes Cavaliere;1;34.77
Massive Power;1;68.85
Subhuman;1;61.99
Your Legacy;1;97.55
Grilled Tandoori Smoke;1;118.01
Farewell;1;50.02
Out of Touch;4;998.40
Roar, Roar, Roar!!;2;262.70
Outlands;2;325.00
Voltaic Black Knight (Introduction);1;44.08
Take Control;2;215.26
A Date With Corruption;1;36.42
Bohemian Rhapsody (Live Aid);1;147.84
Any Special Orders? (Tropical Devil Night Remix);1;8.96
Undeniable Fate;1;4.73
Encom Part II;8;553.83
Gloss Of Speed;3;298.43
rain”Я”ain;1;124.85
The Sound of the End;1;323.40
Club Curacao (Menu);1;35.09
Fort Greene Bossa (Menu);2;11.18
Moon Over The Castle (GT5 Version);1;45.53
One Blue Spaceshore;1;168.54
Playing in 4D;1;19.13
Horizon Seekers;1;2.86
Maelstrom;2;115.16
The New Black;1;78.09
Blazing Muscle;1;131.32
Emil's Shop;1;59.57
GARAGE (Main Menu);1;3.62
Hellish Gimmick;1;133.77
Keep Your Head Up;2;13.37
Hold My Hand (Feat. Akon);2;215.48
Hollywood Tonight;1;271.13
Best Of Joy;1;14.54
Smoker's Lament;1;218.37
Here Goes!!;1;91.40
We Will Rock You (movie mix);3;387.27
Introduction;3;245.18
”00:00”;2;38.44
Broken Heart;1;7.03
Legacy (Instrumental Ver.);1;117.82
Monster (Feat. 50 Cent);1;180.68
Moon Over The Castle GT5 Version;1;2.70
Eve;1;6.37
5OUL ON D!SPLAYSURV1V3;2;11.97
C.L.U.;3;468.51
Main Trailer;1;5.28
History of DMC;1;11.72
Billie Jean;3;590.57
Thriller;2;713.18
Wanna Be Startin' Somethin';1;218.62
The Girl Is Mine (with Paul McCartney);2;444.30
Baby Be Mine;2;271.28
Beat It;5;1036.79
(38-41) Super Mario Bros. 1,2,VS;1;3.31
(39-41) Super Mario Bros. 1,2,VS;1;2.08
Gusty Garden Galaxy;1;3.10
Enter Bowser Jr.!;1;5.70
Where Them Girls At (feat. Nicki Minaj & Flo Rida);9;1115.13
Play Hard (feat. Ne-Yo & Akon);6;1022.32
Given Up;22;3682.28
Burn Out;1;193.65
Brooklyn Bridge;1;46.96
Came Back Haunted;3;256.34
Faint;12;1600.72
In the End;9;1800.63
One Step Closer;14;1935.13
Numb;10;1849.51
Somewhere I Belong;22;4162.41
The Emptiness Machine;44;7067.29
I'm Good (Blue);13;1758.53
When Love Takes Over (feat. Kelly Rowland);10;1561.88
What I've Done;5;431.09
Crawling;15;2143.18
04. DRUM GO DUM;3;232.63
POP/STARS (Instrumental);1;191.10
Pictureboard (Chester) 2021 Fan Remaster;1;14.08
05. I'LL SHOW YOU;2;48.40
MORE (feat. Lexie Liu, Seraphine) (Inst.);2;47.18
I Don't Wanna Wait;48;5030.02
Adagio For TRON;1;251.07
Fuse (2021 Remaster);1;196.43
Beat 23 (Joe Hahn);1;119.14
Echoes;1;226.12
Permanence;1;89.14
Ay‐Oh (Live Aid);1;41.47
Memories (feat. Kid Cudi);3;630.54
End of Line;3;469.47
Ghost In The Machine;2;179.92
Beat 4 (Mike Shinoda);1;106.03
Another One Bites the Dust;1;214.64
03. VILLAIN;1;199.13
Without You (feat. Usher);11;1482.50
I Know You Can Feel It;1;321.88
Improvisation for Violin on a Main Theme ”Legacy”;1;10.83
A-wa-wa-wa!;1;15.51
Emil - Despair;1;25.25
THE BADDEST (Inst.);1;9.64
THE BADDEST;1;37.04
Gatekeeper Unleashed;1;4.85
Faint (Official Music Video) [4K UPGRADE]  Linkin Park;1;168.22
Bleed It Out;15;1990.55
Gone Gone Gone;17;2753.78
Sexy Bitch (feat. Akon);6;757.08
Titanium (feat. Sia);11;2184.52
Fiends ft.007 (2021 Remaster);1;192.50
02. MORE;1;20.54
P.Y.T. (Pretty Young Thing);1;27.27
Arena;1;93.24
Koopa's Road;1;131.16
Looping Steps;1;27.77
Battlerock Galaxy;1;2.72
I Want It All;2;184.35
One For The Road;1;206.05
Finale;1;78.86
Undeniable Fate (Rush Percussion Ver.);1;122.60
D is for Dangerous;1;138.14
The Qliphoth (Prologue);4;287.60
